time	I(CL)+I(RL)
8.085383024466687e-04	5.995207e-02
8.086383024466686e-04	5.995208e-02
8.087383024466685e-04	5.995209e-02
8.088383024466685e-04	5.995210e-02
8.089383024466684e-04	5.995211e-02
8.090383024466684e-04	5.995212e-02
8.091383024466683e-04	5.995213e-02
8.092383024466683e-04	5.995214e-02
8.093383024466682e-04	5.995216e-02
8.094383024466682e-04	5.995217e-02
8.095383024466681e-04	5.995218e-02
8.096383024466681e-04	5.995219e-02
8.097383024466680e-04	5.995220e-02
8.098383024466680e-04	5.995221e-02
8.099383024466679e-04	5.995222e-02
8.100383024466679e-04	5.995223e-02
8.101383024466678e-04	5.995224e-02
8.102383024466678e-04	5.995225e-02
8.103383024466677e-04	5.995227e-02
8.104383024466677e-04	5.995228e-02
8.105383024466676e-04	5.995229e-02
8.106383024466676e-04	5.995230e-02
8.107383024466675e-04	5.995231e-02
8.108383024466675e-04	5.995232e-02
8.109383024466674e-04	5.995233e-02
8.110383024466674e-04	5.995234e-02
8.111383024466673e-04	5.995235e-02
8.112383024466673e-04	5.995236e-02
8.113383024466672e-04	5.995237e-02
8.114383024466671e-04	5.995239e-02
8.115383024466671e-04	5.995240e-02
8.116383024466670e-04	5.995241e-02
8.117383024466670e-04	5.995242e-02
8.118383024466669e-04	5.995243e-02
8.119383024466669e-04	5.995244e-02
8.120383024466668e-04	5.995245e-02
8.121383024466668e-04	5.995246e-02
8.122383024466667e-04	5.995247e-02
8.123383024466667e-04	5.995248e-02
8.124383024466666e-04	5.995249e-02
8.125383024466666e-04	5.995250e-02
8.126383024466665e-04	5.995251e-02
8.127383024466665e-04	5.995252e-02
8.128383024466664e-04	5.995253e-02
8.129383024466664e-04	5.995255e-02
8.130383024466663e-04	5.995256e-02
8.131383024466663e-04	5.995257e-02
8.132383024466662e-04	5.995258e-02
8.133383024466662e-04	5.995259e-02
8.134383024466661e-04	5.995260e-02
8.135383024466661e-04	5.995261e-02
8.136383024466660e-04	5.995262e-02
8.137383024466660e-04	5.995263e-02
8.138383024466659e-04	5.995264e-02
8.139383024466659e-04	5.995265e-02
8.140383024466658e-04	5.995267e-02
8.141383024466658e-04	5.995268e-02
8.142383024466657e-04	5.995269e-02
8.143383024466656e-04	5.995270e-02
8.144383024466656e-04	5.995271e-02
8.145383024466655e-04	5.995272e-02
8.146383024466655e-04	5.995273e-02
8.147383024466654e-04	5.995274e-02
8.148383024466654e-04	5.995275e-02
8.149383024466653e-04	5.995276e-02
8.150383024466653e-04	5.995277e-02
8.151383024466652e-04	5.995279e-02
8.152383024466652e-04	5.995280e-02
8.153383024466651e-04	5.995281e-02
8.154383024466651e-04	5.995282e-02
8.155383024466650e-04	5.995283e-02
8.156383024466650e-04	5.995284e-02
8.157383024466649e-04	5.995285e-02
8.158383024466649e-04	5.995286e-02
8.159383024466648e-04	5.995287e-02
8.160383024466648e-04	5.995288e-02
8.161383024466647e-04	5.995289e-02
8.162383024466647e-04	5.995290e-02
8.163383024466646e-04	5.995291e-02
8.164383024466646e-04	5.995292e-02
8.165383024466645e-04	5.995293e-02
8.166383024466645e-04	5.995294e-02
